fishing_vessel_mmsi,transshipment_vessel_mmsi,start_time,end_time,mean_latitude,mean_longitude,duration_hr,median_distance_km,median_speed_knots,coordinates,country,iso_3
367097850,367526070,2017-07-12 08:30:00+00:00,2017-07-12 11:10:00+00:00,58.82396183009999,-158.5896955876,2.6666666666666665,0.0370524374,0.0687745464,"(58.82396183009999, -158.5896955876)",,
367097850,367526070,2017-07-06 07:00:00+00:00,2017-07-06 09:20:00+00:00,58.825793008249995,-158.59049405605,2.333333333333333,0.0328523031,0.0074308295,"(58.825793008249995, -158.59049405605)",,
367097850,367526070,2017-07-18 11:10:00+00:00,2017-07-18 19:00:00+00:00,58.82408991584915,-158.58954385820508,7.833333333333332,0.030870316100000007,0.10635811945,"(58.82408991584915, -158.58954385820508)",,
273824000,273312950,2016-07-31 22:50:00+00:00,2016-08-02 19:10:00+00:00,62.986845838335114,179.35119964577885,44.33333333333334,0.05302512675,0.0360774219,"(62.986845838335114, 179.35119964577885)",,
273822210,273312950,2016-03-01 15:00:00+00:00,2016-03-02 21:10:00+00:00,54.151098239300005,155.7072879929,30.16666666666667,0.0364791874,0.1381228169,"(54.151098239300005, 155.7072879929)",,
273822210,273312950,2017-07-20 01:30:00+00:00,2017-07-20 04:50:00+00:00,48.89799656215,155.1194057194,3.333333333333333,0.04401616690000001,1.2520566679999998,"(48.89799656215, 155.1194057194)",,
273822210,273312950,2017-03-12 02:30:00+00:00,2017-03-14 17:40:00+00:00,57.99401432927585,149.64929234460584,63.16666666666666,0.02871885635,0.40165458815,"(57.99401432927585, 149.64929234460584)",,
273821210,273312950,2016-08-16 14:00:00+00:00,2016-08-16 16:50:00+00:00,48.767470598900005,153.31636913190002,2.833333333333333,0.04794048730000001,1.5450317544999999,"(48.767470598900005, 153.31636913190002)",,
273821210,273312950,2017-07-20 15:00:00+00:00,2017-07-20 18:50:00+00:00,49.0270342572,155.1973016101,3.8333333333333335,0.1413134742,1.7392111691,"(49.0270342572, 155.1973016101)",,
273821210,273312950,2016-02-26 09:00:00+00:00,2016-02-26 12:40:00+00:00,54.0712296887,155.3625669285,3.6666666666666665,0.0401493024,0.027249151,"(54.0712296887, 155.3625669285)",,
273821210,273312950,2016-04-05 01:20:00+00:00,2016-04-06 13:50:00+00:00,54.05388303272387,155.45578791958764,36.5,0.0229943796,0.01743942495,"(54.05388303272387, 155.45578791958764)",,
273825110,273312950,2017-03-08 00:30:00+00:00,2017-03-09 22:00:00+00:00,57.409235316633435,155.8295761104912,45.5,0.050718745499999995,0.0304739277,"(57.409235316633435, 155.8295761104912)",,
273825110,273312950,2017-07-20 06:20:00+00:00,2017-07-20 14:10:00+00:00,48.99220464842153,155.1305962824671,7.833333333333332,0.053820235949999996,0.7895235228999999,"(48.99220464842153, 155.1305962824671)",,
273810610,273312950,2017-01-16 16:30:00+00:00,2017-01-16 20:20:00+00:00,51.650468239700004,156.4347924148,3.8333333333333335,0.1054490321,0.07845513400000001,"(51.650468239700004, 156.4347924148)",,
273825210,273312950,2017-12-04 12:40:00+00:00,2017-12-06 10:30:00+00:00,58.98805133237221,152.32300540934685,45.83333333333334,0.0228763292,0.03080851925,"(58.98805133237221, 152.32300540934685)",,
273829310,273312950,2016-08-05 17:00:00+00:00,2016-08-06 20:50:00+00:00,63.006693639895076,179.37136378952405,27.83333333333333,0.04182529695,0.0147360348,"(63.006693639895076, 179.37136378952405)",,
273841610,273312950,2017-03-17 08:00:00+00:00,2017-03-18 05:20:00+00:00,55.29349255198406,155.17087034726597,21.33333333333333,0.0297832761,0.01034021,"(55.29349255198406, 155.17087034726597)",,
273449170,273312950,2017-11-26 18:10:00+00:00,2017-11-27 20:00:00+00:00,52.44756849128039,158.49783480826272,25.83333333333333,0.0492798218,0.0285207381,"(52.44756849128039, 158.49783480826272)",,
273829110,273312950,2016-04-06 19:00:00+00:00,2016-04-07 15:30:00+00:00,54.05115432411435,155.45333271836316,20.5,0.0378318158,0.0159937318,"(54.05115432411435, 155.45333271836316)",,
273829110,273312950,2016-04-05 12:00:00+00:00,2016-04-05 18:50:00+00:00,54.05426461793783,155.45475502028918,6.833333333333332,0.043515627599999995,0.03041999775,"(54.05426461793783, 155.45475502028918)",,
